Accessory ID,Accessory Type,Accessory Name,Approximate Cost (INR),Material/Key Feature,Brand/Origin
ACC001,Indoor Plant,Fiddle Leaf Fig,2500,Large glossy leaves,Local Nursery
ACC002,Indoor Plant,Snake Plant (Sansevieria),800,Air purifying,Various
ACC003,Indoor Plant,Monstera Deliciosa,1800,Swiss cheese plant,Local Nursery
ACC004,Couch,Three-Seater Sofa,35000,Fabric upholstery,Nilkamal/Godrej Interio
ACC005,Couch,L-Shaped Sectional,60000,Leatherette,Local Manufacturer
ACC006,Couch,Loveseat,20000,Velvet,Urban Ladder
ACC007,Electronics,55-inch Smart TV,55000,4K UHD,Samsung/LG
ACC008,Electronics,Soundbar,12000,Dolby Atmos,Sony/Bose
ACC009,Electronics,Smart Speaker,5000,Voice assistant,Amazon/Google
ACC010,Dining Table,4-Seater Wooden Table,18000,Sheesham wood,Local Furniture Store
ACC011,Dining Table,6-Seater Glass Top Table,25000,Tempered glass,Online Retailer
ACC012,Chair,Dining Chair (Set of 4),8000,Solid wood,IKEA
ACC013,Chair,Accent Chair,15000,Upholstered,Pepperfry
ACC014,Table,Coffee Table,10000,Marble top,Local Artisan
ACC015,Table,Side Table,6000,Metal frame,Online Retailer
ACC016,Lighting,Floor Lamp,7000,Adjustable,Philips
ACC017,Decor,Wall Art (Large Canvas),9000,Abstract design,Art Gallery
ACC018,Textile,Area Rug (5x7 ft),12000,Wool,Handloom Emporium
ACC019,Storage,Bookshelf (5 shelves),16000,Engineered wood,Godrej Interio
ACC021,Indoor Plant,ZZ Plant (Zamioculcas zamiifolia),1200,Low maintenance,Various
ACC022,Indoor Plant,Peace Lily (Spathiphyllum),1500,Elegant white flowers,Local Nursery
ACC023,Indoor Plant,Areca Palm,3000,Air purifier,Plant Shop Bengaluru
ACC024,Couch,Futon Sofa Bed,28000,Convertible,Online Furniture Store
ACC025,Couch,Chesterfield Sofa,75000,Tufted leather,Antique Store/Luxury Brand
ACC026,Couch,Sleeper Sofa,45000,Pull-out bed,Local Manufacturer
ACC027,Electronics,65-inch OLED TV,150000,Superior picture quality,Sony/Samsung
ACC028,Electronics,Wireless Headphones,15000,Noise cancelling,Bose/Sony
ACC029,Electronics,Tablet,35000,10-inch display,Apple/Samsung
ACC030,Dining Table,Round Dining Table (4-seater),22000,Solid wood with pedestal,Local Artisan
ACC031,Dining Table,Extendable Dining Table (6-8 seater),38000,Wood and veneer,IKEA
ACC032,Chair,Bar Stools (Set of 2),9000,Metal and wood,Online Retailer
ACC033,Chair,Office Chair (Ergonomic),18000,Adjustable,Featherlite/Godrej
ACC034,Table,Console Table,14000,Wood and metal,Home Centre
ACC035,Table,Nest of Tables (Set of 3),8500,Wooden,Local Furniture Store
ACC036,Lighting,Table Lamp,3500,Ceramic base,Philips/Wipro
ACC037,Lighting,Pendant Light,5000,Industrial style,Online Lighting Store
ACC038,Decor,Mirror (Full Length),7000,Wooden frame,Local Furniture Store
ACC039,Decor,Set of Decorative Vases,4000,Ceramic/Glass,Craft Store
ACC040,Textile,Throw Pillows (Set of 2),1500,Cotton/Linen,Home Furnishing Store
ACC041,Storage,Chest of Drawers (4 drawers),22000,Solid wood,Local Manufacturer
ACC042,Storage,Wall Shelves (Set of 3),5000,Engineered wood,Online Retailer
ACC045,Bedding,Queen Size Mattress,25000,Memory foam,Sleepwell/Kurl-on
ACC046,Bedding,Duvet (Queen Size),8000,Down alternative,Raymond Home
ACC047,Window Treatment,Curtains (Set of 2 panels),6000,Polyester,Local Textile Shop
ACC048,Window Treatment,Blinds (Roller),4500,Fabric,Online Blinds Store
ACC049,Outdoor,Balcony Plant Stand,3000,Metal,Gardening Store
ACC050,Outdoor,Outdoor Lounge Chair,12000,Wicker,Local Furniture Store
ACC051,Chair,Armchair,22000,Leather,Luxury Furniture Store
ACC052,Table,TV Stand,16000,Wood and glass,Online Retailer
ACC053,Lighting,Chandelier,30000,Crystal,Lighting Boutique
ACC054,Decor,Sculpture,18000,Metal/Stone,Art Gallery
ACC055,Textile,Throw Blanket,2500,Cashmere blend,Home Furnishing Store
ACC056,Storage,2 Door Wardrobe,10000,Solid Wood,Home Furnishing Store
ACC057,Storage,Modular Wardrobe,17000,Ply Wood,Luxury Furniture Store
ACC058,Storage,Sliding Door Wardrobe,15000,Laminate,IKEA
ACC059,Storage,Walkin Wardrobe,30000,MDf,Home Furnishing Store
ACC060,Side Table,Modern Round Side Table,3200,Wooden top with metal legs,IKEA
ACC061,Side Table,Glass Top Side Table,4500,Tempered glass and stainless steel,Home Centre
ACC062,Side Table,Rustic Wooden Side Table,2800,Reclaimed wood with vintage finish,Urban Ladder
ACC063,Side Table,Compact Side Table with Drawer,3500,Engineered wood with storage,Pepperfry
ACC064,Side Table,Minimalist Metal Frame Table,3000,Powder-coated steel frame,Amazon Basics
